iter	Passed	Remaining
0	1	169
1	3	155
2	4	144
3	5	136
4	7	133
5	8	134
6	9	132
7	11	131
8	12	129
9	14	128
10	15	127
11	17	125
12	18	123
13	19	122
14	21	120
15	22	118
16	23	117
17	25	115
18	26	113
19	28	112
20	29	111
21	30	109
22	32	108
23	33	106
24	35	107
25	37	105
26	38	103
27	39	102
28	41	100
29	42	99
30	43	97
31	45	96
32	46	94
33	48	93
34	49	91
35	50	90
36	52	89
37	53	87
38	55	86
39	56	84
40	57	83
41	58	80
42	59	79
43	60	77
44	62	76
45	63	74
46	65	73
47	66	72
48	68	70
49	69	69
50	70	68
51	72	66
52	73	65
53	75	64
54	75	62
55	76	60
56	77	58
57	78	56
58	79	55
59	80	53
60	81	52
61	82	50
62	83	48
63	83	47
64	84	45
65	85	44
66	86	42
67	86	40
68	87	39
69	88	37
70	89	36
71	89	34
72	90	33
73	90	31
74	91	30
75	92	29
76	92	27
77	93	26
78	94	24
79	94	23
80	95	22
81	95	21
82	96	19
83	96	18
84	97	17
85	98	15
86	98	14
87	98	13
88	99	12
89	99	11
90	100	9
91	100	8
92	101	7
93	101	6
94	102	5
95	102	4
96	103	3
97	103	2
98	104	1
99	104	0
